solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,1,1,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",140
No,2,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",180
No,1,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",115
No,0,3,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",180
No,0,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",130
No,1,0,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",100
No,1,1,0,2,0,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",100
No,3,4,0,3,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",402
No,2,2,1,1,2,,Gampaha,"2,500 to 3,500 square feet",224
No,5,1,0,2,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",470
No,4,1,0,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",150
No,2,4,0,0,2,"Above Rs. 400,000",Gampaha,"2,500 to 3,500 square feet",400
No,2,3,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",230
No,3,1,1,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",160
No,3,2,0,0,1,"Below Rs. 50,000",Kaluthara,"1,500 to 2,500 square feet",90
No,1,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",75
No,4,1,0,1,3,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",350
No,2,4,0,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,4,3,0,1,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"2,500 to 3,500 square feet",220
No,4,3,0,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"2,500 to 3,500 square feet",256
No,4,3,0,1,2,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",408
