Solar,Male,Female,children,Adult,Employee,Income,District,landSize,AirCondioner,Fan,Micro,TV,Refig,Iron,Geyser,WashingMaching,Profile,Units
0,3,2,0,3,2,4,0,2,2,0,2,4,2,0,0,0,2,385.3333333
0,0,4,4,5,4,0,0,2,0,4,0,2,0,0,0,0,0,2.75
0,0,2,0,2,0,2,0,2,0,0,0,3,0,0,2,0,0,9.0833333
0,0,3,0,0,4,2,0,2,0,2,0,0,2,0,0,0,2,205
0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4.75
0,2,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,88.40666667
0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,86.40666667
0,2,0,0,2,0,3,7,4,0,0,0,0,0,0,0,0,0,95.66666667
0,3,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,98.75
0,2,0,0,0,2,2,0,0,0,4,0,2,0,0,0,0,0,3.25
0,2,2,0,2,2,4,7,0,0,0,0,0,0,0,0,0,0,5.5
0,2,2,0,0,2,0,0,0,2,3,0,2,0,0,0,0,2,83.9066667
0,2,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,75
0,3,2,0,0,2,5,6,3,0,0,0,0,0,0,0,0,0,80.58333333
0,3,2,0,0,2,5,6,3,0,0,0,0,0,0,0,0,0,6.06666667
0,2,2,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,6.06666667
0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,5.3333333
0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,99.66666667
0,2,2,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,38
0,3,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,3,95
